Sr. No.,Q,P1,P2,Pcd,Phd,T1,T2,T3,T4,Eff,Efficiency,,,,
566,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
567,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
568,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
569,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
570,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
571,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
572,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
573,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
574,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
575,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
576,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
577,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
578,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
579,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
580,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
581,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
582,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
583,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
584,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
585,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
586,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
587,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
588,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
589,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
590,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
591,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
592,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
593,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
594,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
595,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
596,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
597,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
598,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
599,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
600,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
601,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
602,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
603,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
604,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
605,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
606,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
607,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
608,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
609,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
610,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
611,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
612,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
613,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
614,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
615,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
616,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
617,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
618,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
619,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
620,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
621,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
622,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
623,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
624,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
625,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
626,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
627,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
628,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
629,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
630,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
631,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
632,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
633,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
634,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
635,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
636,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
637,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
638,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
639,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
640,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
641,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
642,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
643,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
644,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
645,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
646,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
647,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
648,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
649,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
650,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
651,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
652,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
653,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
654,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
655,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
656,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
657,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
658,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
659,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
660,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
661,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
662,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
663,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
664,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
665,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
666,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
667,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
668,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
669,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
670,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
671,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
672,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
673,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
674,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
675,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
676,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
677,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
678,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
679,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
680,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
681,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
682,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
683,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
684,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
685,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
686,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
687,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
688,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
689,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
690,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
691,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
692,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
693,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
694,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
695,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
696,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
697,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
698,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
699,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
700,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
701,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
702,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
703,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
704,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
705,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
706,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
707,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
708,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
709,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
710,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
711,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
712,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
713,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
714,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
715,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
716,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
717,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
718,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
719,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
720,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
721,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
722,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
723,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
724,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
725,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
726,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
727,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
728,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
729,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
730,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
731,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
732,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
733,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
734,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
735,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
736,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
737,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
738,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
739,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
740,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
741,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
742,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
743,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
744,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
745,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
746,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
747,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
748,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
749,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
750,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
751,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
752,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
753,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
754,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
755,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
756,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
757,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
758,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
759,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
760,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
761,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
762,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
763,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
764,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
765,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
766,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
767,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
768,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
769,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
770,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
771,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
772,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
773,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
774,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
775,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
776,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
777,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
778,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
779,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
780,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
781,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
782,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
783,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
784,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
785,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
786,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
787,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
788,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
789,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
790,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
791,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
792,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
793,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
794,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
795,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
796,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
797,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
798,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
799,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
800,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
801,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
802,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
803,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
804,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
805,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
806,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
807,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
808,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
809,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
810,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
811,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
812,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
813,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
814,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
815,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
816,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
817,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
818,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
819,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
820,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
821,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
822,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
823,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
824,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
825,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
826,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
827,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
828,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
829,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
830,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
831,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
832,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
833,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
834,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
835,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
836,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
837,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
838,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
839,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
840,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
841,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
842,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
843,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
844,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
845,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
846,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
847,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
848,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
